short_url,project_org,project_name,donation_received,days_to_go,time_scraped
bantuperempuantangguhumkmberdaya,CollabForChange,Jemput Berkah Ramadhan dari Sedekah Gerobak Gratis,308404470,110,2024-04-12 21:31:07
Kitabisasyiarislam,Kitabisa.org,10 HARI TERAKHIR! Tebar 1.000 Quran Santri Pelosok,473346222,14,2024-04-12 21:31:07
salamaqiqahpantiyatim,Salam Setara,Raih Pahala 2x Lipat! Sedekah tuk Anak Panti Yatim,270297321,14,2024-04-12 21:31:07
bantudonasitukkucing,Yayasan Semangat Pemuda Mandiri Bersama,Bantu Donasi Tuk Kucing Jalanan Sakit & Kelaparan,0,15,2024-04-12 21:31:07
pahalajariyahtukbeliquranbaruyp,Yayasan Progres Indonesia,Pahala Jariyah tuk Beli Qur’an Baru,0,14,2024-04-12 21:31:07
investasitiadamerugirenovtukmesjidpelosok,Yayasan Harapan Tumbuh Bersama Bangsa,"Investasi tiada merugi, Renov mesjid pelosok ",0,15,2024-04-12 21:31:07
mirisjembatanpenghubungdesa,Yayasan Semangat Pemuda Mandiri Bersama,Miris! Jembatan Penghubung Desa Reot & Rapuh,0,14,2024-04-12 21:31:07
pahalaabadiwakafairtuksantritahfiz,Yayasan Harapan Tumbuh Bersama Bangsa,PAHALA ABADI !! WAKAF AIR Untuk Santri Tahfiz,0,14,2024-04-12 21:31:07
pahalasedekahpangan,Yayasan Semangat Pemuda Mandiri Bersama,Pahala Sedekah Pangan Untuk 35 Yatim Piatu,0,15,2024-04-12 21:31:07
jumatberkahbangunsumur,Yayasan Semangat Pemuda Mandiri Bersama,Jumat Berkah Bangun Sumur Air Tuk Santri Pelosok,11000,8,2024-04-12 21:31:07
urgentplafonambrukbantutukrenovasipesantren,Yayasan Harapan Tumbuh Bersama Bangsa,"Urgent !! Plafon Ambruk,bantu Renovasi Pesantren",22000,3,2024-04-12 21:31:07
untuktemanbantunahda,Untuk Teman,5 Tahun Nahda Berjuang Lawan Kelainan Jantung,35000,8,2024-04-12 21:31:07
bahagiautkadam,Pengantar Kebahagiaan Nusantara,URGENT! Anak Yatim Berjuang Lawan Batu Ginjal,104000,1,2024-04-12 21:31:07
uttolongraihan,Untuk Teman,"Fungsi Saraf Melemah, Bantu Raihan Sembuh",130000,3,2024-04-12 21:31:07
aktifbersamapanti,Aktivator Kebaikan,"Sepi Donatur, Makan Yatim dhuafa terancam ",305000,1,2024-04-12 21:31:07
beribahagiautkadreena,Pengantar Kebahagiaan Nusantara,TOLONG! Hidrosefalus Buat Kepala Bayi Hancur,131000,14,2024-04-12 21:31:07
temanberbahagiapanti,Teman Baik,"Sepi Donatur, Makan Anak Yatim Panti Terancam",371000,14,2024-04-12 21:31:07
hsedekahbanturenovasimasjid,Insan Cendekia Gemilang Foundation,Hanya 10Rb! Sedekah Bantu Renovasi Masjid Al Fath,258000,1,2024-04-12 21:31:07
perjuanganlansiademikeluarga,Yayasan Generasi Prestasi,"Hidup Kelaparan, 100 Lansia Berjuang Demi Keluarga",757000,,2024-04-12 21:31:07
aktifsywalbaik,Aktivator Kebaikan,"Berkah Syawal, Bahagia kan yatim di panti ",72000,,2024-04-12 21:31:07
